item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model;param4_associated_cabinet;dm
28;1;2E14-GAL1-1;2E14-GAL1-1;2E14-GAL1-1;AVO;S2TN-ZON-026;Secc.03-11-10;42+075;;;;2E14-CAB-002;5775
29;1;2E15-GAL2-1;2E15-GAL2-1;2E15-GAL2-1;AVO;S2TN-ZON-024;Secc.03-11-10;42+23;;;;2E15-CAB-002;5930
30;1;2E16-GAL3-1;2E16-GAL3-1;2E16-GAL3-1;AVO;S2TN-ZON-022;Secc.03-11-10;42+455;;;;2E16-CAB-002;6155
31;1;2E17-GAL4-1;2E17-GAL4-1;2E17-GAL4-1;AVO;S2TN-ZON-020;Secc.03-11-10;42+58;;;;2E17-CAB-002;6280
32;1;2E18-GAL5-1;2E18-GAL5-1;2E18-GAL5-1;AVO;S2TN-ZON-018;Secc.03-11-09;42+805;;;;2E18-CAB-002;6505
33;1;2E19-GAL6-1;2E19-GAL6-1;2E19-GAL6-1;AVO;S2TN-ZON-016;Secc.03-11-09;43+03;;;;2E19-CAB-002;6730
34;1;2E20-GAL7-1;2E20-GAL7-1;2E20-GAL7-1;AVO;S2TN-ZON-014;Secc.03-11-09;43+19;;;;2E20-CAB-002;6890
35;1;2E21-GAL8-1;2E21-GAL8-1;2E21-GAL8-1;AVO;S2TN-ZON-012;Secc.03-11-09;43+415;;;;2E21-CAB-002;7115
38;1;2E24-GAL010-1;2E24-GAL010-1;2E24-GAL010-1;AVO;S2TN-ZON-009;Secc.03-11-08;43+71;;;;2E24-CAB-002;7410
39;1;2E25-GAL011-1;2E25-GAL011-1;2E25-GAL011-1;AVO;S2TN-ZON-007;Secc.03-11-08;43+935;;;;2E25-CAB-002;7635
42;1;2E28-GAL012-1;2E28-GAL012-1;2E28-GAL012-1;AVO;S2TN-ZON-004;Secc.03-11-08;44+27;;;;2E28-CAB-002;7970
43;1;2E29-GAL013-1;2E29-GAL013-1;2E29-GAL013-1;AVO;S2TN-ZON-001;Secc.03-11-08;44+495;;;;2E29-CAB-002;8195
44;1;2E14-GAL1-2;2E14-GAL1-2;2E14-GAL1-2;AVO;S2TS-ZON-025;Secc.02-10-05;42+075;;;;2E14-CAB-002;5775
45;1;2E15-GAL2-2;2E15-GAL2-2;2E15-GAL2-2;AVO;S2TS-ZON-026;Secc.02-10-05;42+23;;;;2E15-CAB-002;5930
46;1;2E16-GAL3-2;2E16-GAL3-2;2E16-GAL3-2;AVO;S2TS-ZON-028;Secc.02-10-05;42+455;;;;2E16-CAB-002;6155
47;1;2E17-GAL4-2;2E17-GAL4-2;2E17-GAL4-2;AVO;S2TS-ZON-029;Secc.02-10-06;42+58;;;;2E17-CAB-002;6280
48;1;2E18-GAL5-2;2E18-GAL5-2;2E18-GAL5-2;AVO;S2TS-ZON-032;Secc.02-10-06;42+805;;;;2E18-CAB-002;6505
49;1;2E19-GAL6-2;2E19-GAL6-2;2E19-GAL6-2;AVO;S2TS-ZON-034;Secc.02-10-06;43+03;;;;2E19-CAB-002;6730
50;1;2E20-GAL7-2;2E20-GAL7-2;2E20-GAL7-2;AVO;S2TS-ZON-036;Secc.02-10-06;43+19;;;;2E20-CAB-002;6890
51;1;2E21-GAL8-2;2E21-GAL8-2;2E21-GAL8-2;AVO;S2TS-ZON-038;Secc.02-10-06;43+415;;;;2E21-CAB-002;7115
52;1;2E24-GAL010-2;2E24-GAL010-2;2E24-GAL010-2;AVO;S2TS-ZON-041;Secc.02-10-07;43+71;;;;2E24-CAB-002;7410
53;1;2E25-GAL011-2;2E25-GAL011-2;2E25-GAL011-2;AVO;S2TS-ZON-043;Secc.02-10-07;43+935;;;;2E25-CAB-002;7635
54;1;2E28-GAL012-2;2E28-GAL012-2;2E28-GAL012-2;AVO;S2TS-ZON-047;Secc.02-10-07;44+27;;;;2E28-CAB-002;7970
55;1;2E29-GAL013-2;2E29-GAL013-2;2E29-GAL013-2;AVO;S2TS-ZON-049;Secc.02-10-07;44+495;;;;2E29-CAB-002;8195
56;1;2E21-GAL9-1;2E21-GAL9-1;2E21-GAL9-1;AVO;S2TN-ZON-012;Secc.03-11-09;43+415;;;;2E21-CAB-002;7115
57;1;2E21-GAL9-2;2E21-GAL9-2;2E21-GAL9-2;AVO;S2TS-ZON-038;Secc.02-10-06;43+415;;;;2E21-CAB-002;7115
