item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_state;param5_circuit_type
13;TUN-CONT-AA11-SS;Cont. 16 A,IV;TUN-CONT-AA11-SS;Carreterta Tunel;Carretera;172+100;SS;SendStateToIllumination.groovy;Permanente
14;TUN-CONT-AA20-SS;Cont. 16 A,IV;TUN-CONT-AA20-SS;Carreterta Tunel;Carretera;172+100;SS;SendStateToIllumination.groovy;Permanente
15;TUN-CONT-AA21-SS;Cont. 16 A,IV;TUN-CONT-AA21-SS;Carreterta Tunel;Carretera;172+100;SS;SendStateToIllumination.groovy;Permanente
16;TUN-CONT-AE14-SS;Cont. 16 A,IV;TUN-CONT-AE14-SS;Carreterta Tunel;Carretera;172+100;SS;SendStateToIllumination.groovy;Guiado
17;TUN-CONT-A31-SS;Cont. 16 A,IV;TUN-CONT-A31-SS;Carreterta Tunel;Carretera;172+100;SS;SendStateToIllumination.groovy;Aproximación
18;TUN-CONT-A32-SS;Cont. 16 A,IV;TUN-CONT-A32-SS;Carreterta Tunel;Carretera;172+100;SS;SendStateToIllumination.groovy;Aproximación
19;TUN-CONT-A12-SS;Cont. 16 A,IV;TUN-CONT-A12-SS;Carreterta Tunel;Carretera;172+100;SS;SendStateToIllumination.groovy;Refuerzo
20;TUN-CONT-A13-SS;Cont. 16 A,IV;TUN-CONT-A13-SS;Carreterta Tunel;Carretera;172+100;SS;SendStateToIllumination.groovy;Refuerzo
21;TUN-CONT-A22-SS;Cont. 16 A,IV;TUN-CONT-A22-SS;Carreterta Tunel;Carretera;172+100;SS;SendStateToIllumination.groovy;Refuerzo
22;TUN-CONT-A23-SS;Cont. 16 A,IV;TUN-CONT-A23-SS;Carreterta Tunel;Carretera;172+100;SS;SendStateToIllumination.groovy;Refuerzo
23;TUN-CONT-A33-SS;Cont. 16 A,IV;TUN-CONT-A33-SS;Carreterta Tunel;Carretera;172+100;SS;SendStateToIllumination.groovy;Refuerzo
24;TUN-CONT-A34-SS;Cont. 16 A,IV;TUN-CONT-A34-SS;Carreterta Tunel;Carretera;172+100;SS;SendStateToIllumination.groovy;Refuerzo
25;TUN-CONT-A35-SS;Cont. 16 A,IV;TUN-CONT-A35-SS;Carreterta Tunel;Carretera;172+100;SS;SendStateToIllumination.groovy;Refuerzo
26;TUN-CONT-A36-SS;Cont. 16 A,IV;TUN-CONT-A36-SS;Carreterta Tunel;Carretera;172+100;SS;SendStateToIllumination.groovy;Refuerzo
29;HOSP-ILUM-L1-P1;HOSP-ILUM-L1-P1;HOSP-ILUM-L1-P1;Nicklaus Childrens Hospital;Hosp P1;;;;
30;HOSP-ILUM-L1-P2;HOSP-ILUM-L1-P2;HOSP-ILUM-L1-P2;Nicklaus Childrens Hospital;Hosp P1;;;;
31;HOSP-ILUM-L1-P3;HOSP-ILUM-L1-P3;HOSP-ILUM-L1-P3;Nicklaus Childrens Hospital;Hosp P1;;;;
32;HOSP-ILUM-L1-P4;HOSP-ILUM-L1-P4;HOSP-ILUM-L1-P4;Nicklaus Childrens Hospital;Hosp P1;;;;
33;HOSP-ILUM-L1-P5;HOSP-ILUM-L1-P5;HOSP-ILUM-L1-P5;Nicklaus Childrens Hospital;Hosp P1;;;;
34;HOSP-ILUM-L1-P6;HOSP-ILUM-L1-P6;HOSP-ILUM-L1-P6;Nicklaus Childrens Hospital;Hosp P1;;;;
35;HOSP-ILUM-L1-P7;HOSP-ILUM-L1-P7;HOSP-ILUM-L1-P7;Nicklaus Childrens Hospital;Hosp P1;;;;
36;HOSP-ILUM-L1-P8;HOSP-ILUM-L1-P8;HOSP-ILUM-L1-P8;Nicklaus Childrens Hospital;Hosp P1;;;;
37;HOSP-ILUM-L1-P9;HOSP-ILUM-L1-P9;HOSP-ILUM-L1-P9;Nicklaus Childrens Hospital;Hosp P1;;;;
38;HOSP-ILUM-L2-P1;HOSP-ILUM-L2-P1;HOSP-ILUM-L2-P1;Nicklaus Childrens Hospital;Hosp P2;;;;
39;HOSP-ILUM-L2-P2;HOSP-ILUM-L2-P2;HOSP-ILUM-L2-P2;Nicklaus Childrens Hospital;Hosp P2;;;;
40;HOSP-ILUM-L2-P3;HOSP-ILUM-L2-P3;HOSP-ILUM-L2-P3;Nicklaus Childrens Hospital;Hosp P2;;;;
41;HOSP-ILUM-L2-P4;HOSP-ILUM-L2-P4;HOSP-ILUM-L2-P4;Nicklaus Childrens Hospital;Hosp P2;;;;
42;HOSP-ILUM-L2-P5;HOSP-ILUM-L2-P5;HOSP-ILUM-L2-P5;Nicklaus Childrens Hospital;Hosp P2;;;;
43;HOSP-ILUM-L2-P6;HOSP-ILUM-L2-P6;HOSP-ILUM-L2-P6;Nicklaus Childrens Hospital;Hosp P2;;;;
44;HOSP-ILUM-L2-P7;HOSP-ILUM-L2-P7;HOSP-ILUM-L2-P7;Nicklaus Childrens Hospital;Hosp P2;;;;
45;HOSP-ILUM-L3-P1;HOSP-ILUM-L3-P1;HOSP-ILUM-L3-P1;Nicklaus Childrens Hospital;Hosp P3;;;;
46;HOSP-ILUM-L3-P2;HOSP-ILUM-L3-P2;HOSP-ILUM-L3-P2;Nicklaus Childrens Hospital;Hosp P3;;;;
47;HOSP-ILUM-L3-P3;HOSP-ILUM-L3-P3;HOSP-ILUM-L3-P3;Nicklaus Childrens Hospital;Hosp P3;;;;
48;HOSP-ILUM-L3-P4;HOSP-ILUM-L3-P4;HOSP-ILUM-L3-P4;Nicklaus Childrens Hospital;Hosp P3;;;;
49;HOSP-ILUM-L3-P5;HOSP-ILUM-L3-P5;HOSP-ILUM-L3-P5;Nicklaus Childrens Hospital;Hosp P3;;;;
