item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;param1_brand;param2_model;param4_config_json;param9_travel_time_configurable;on_change_measure
11;19;MAP-NTCIP-9;MAP-NTCIP-9;MAP-NTCIP-9;Carretera Mapa;Mapa;118+700;S;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":19},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";true;ChangeMeasureHistorical.groovy
12;19;MAP-NTCIP-10;MAP-NTCIP-10;MAP-NTCIP-10;Carretera Mapa;Mapa;118+300;S;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":19},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";true;ChangeMeasureHistorical.groovy
13;19;MAP-NTCIP-11;MAP-NTCIP-11;MAP-NTCIP-11;Carretera Mapa;Mapa;117+150;S;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":19},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";true;ChangeMeasureHistorical.groovy
14;19;MAP-NTCIP-12;MAP-NTCIP-12;MAP-NTCIP-12;Carretera Mapa;Mapa;116+050;S;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":19},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";true;ChangeMeasureHistorical.groovy
15;11;TUN-CLV-1;TUN-CLV-1;TUN-CLV-1;Carretera Tunel;Tunel Norte;172+655;CA;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":11}]";;ChangeMeasureHistorical.groovy
16;11;TUN-CLV-2;TUN-CLV-2;TUN-CLV-2;Carretera Tunel;Tunel Norte;173+437;MA;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":11}]";;ChangeMeasureHistorical.groovy
17;11;TUN-CLV-3;TUN-CLV-3;TUN-CLV-3;Carretera Tunel;Tunel Norte;172+655;CA;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":11}]";;ChangeMeasureHistorical.groovy
18;11;TUN-CLV-4;TUN-CLV-4;TUN-CLV-4;Carretera Tunel;Tunel Norte;173+437;MA;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":11}]";;ChangeMeasureHistorical.groovy
19;11;TUN-CLV-5;TUN-CLV-5;TUN-CLV-5;Carretera Tunel;Tunel Sur;172+655;CA;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":11}]";;ChangeMeasureHistorical.groovy
20;11;TUN-CLV-6;TUN-CLV-6;TUN-CLV-6;Carretera Tunel;Tunel Sur;173+437;MA;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":11}]";;ChangeMeasureHistorical.groovy
21;11;TUN-CLV-7;TUN-CLV-7;TUN-CLV-7;Carretera Tunel;Tunel Sur;172+655;CA;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":11}]";;ChangeMeasureHistorical.groovy
22;11;TUN-CLV-8;TUN-CLV-8;TUN-CLV-8;Carretera Tunel;Tunel Sur;173+437;MA;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":11}]";;ChangeMeasureHistorical.groovy
23;12;TUN-AF-1;TUN-AF-1;TUN-AF-1;Carretera Tunel;Tunel Norte;172+655;CA;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":12}]";;ChangeMeasureHistorical.groovy
24;12;TUN-AF-2;TUN-AF-2;TUN-AF-2;Carretera Tunel;Tunel Norte;173+437;MA;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":12}]";;ChangeMeasureHistorical.groovy
25;12;TUN-AF-3;TUN-AF-3;TUN-AF-3;Carretera Tunel;Tunel Norte;172+655;CA;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":12}]";;ChangeMeasureHistorical.groovy
26;12;TUN-AF-4;TUN-AF-4;TUN-AF-4;Carretera Tunel;Tunel Norte;173+437;MA;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":12}]";;ChangeMeasureHistorical.groovy
27;12;TUN-AF-5;TUN-AF-5;TUN-AF-5;Carretera Tunel;Tunel Sur;172+655;CA;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":12}]";;ChangeMeasureHistorical.groovy
28;12;TUN-AF-6;TUN-AF-6;TUN-AF-6;Carretera Tunel;Tunel Sur;173+437;MA;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":12}]";;ChangeMeasureHistorical.groovy
29;12;TUN-AF-7;TUN-AF-7;TUN-AF-7;Carretera Tunel;Tunel Sur;172+655;CA;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":12}]";;ChangeMeasureHistorical.groovy
30;12;TUN-AF-8;TUN-AF-8;TUN-AF-8;Carretera Tunel;Tunel Sur;173+437;MA;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":12}]";;ChangeMeasureHistorical.groovy
31;16;TUN-PMVI-1;TUN-PMVI-1;TUN-PMVI-1;Carretera Tunel;Tunel Norte;172+655;CA;Fixalia;NTCIP;"[{""zone"":1,""type"":""text"",""maxCharsPerLine"":16}]";;ChangeMeasureHistorical.groovy
32;16;TUN-PMVI-2;TUN-PMVI-2;TUN-PMVI-2;Carretera Tunel;Tunel Sur;173+437;MA;Fixalia;NTCIP;"[{""zone"":1,""type"":""text"",""maxCharsPerLine"":16}]";;ChangeMeasureHistorical.groovy
