item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure;param1_brand;param2_model;param3_stream_mjpeg;param7_PTZ;param9_hostname;param10_user;param11_password;param12_PTZ
11;2;TUN-TV-9CA;TUN-TV-9CA;TUN-TV-9CA;Carretera Tunel;Tunel Norte;172+881;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
12;2;TUN-TV-10CA;TUN-TV-10CA;TUN-TV-10CA;Carretera Tunel;Tunel Norte;172+805;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
13;2;TUN-TV-11CA;TUN-TV-11CA;TUN-TV-11CA;Carretera Tunel;Tunel Norte;172+651;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
14;2;TUN-TV-2GA;TUN-TV-2GA;TUN-TV-2GA;Carretera Tunel;Carretera;172+917;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
15;2;TUN-TV-1GA;TUN-TV-1GA;TUN-TV-1GA;Carretera Tunel;Carretera;172+917;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
16;2;TUN-TV-1MA;TUN-TV-1MA;TUN-TV-1MA;Carretera Tunel;Tunel Sur;172+657;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
17;2;TUN-TV-2MA;TUN-TV-2MA;TUN-TV-2MA;Carretera Tunel;Tunel Sur;172+734;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
18;2;TUN-TV-3MA;TUN-TV-3MA;TUN-TV-3MA;Carretera Tunel;Tunel Sur;172+805;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
19;2;TUN-TV-4MA;TUN-TV-4MA;TUN-TV-4MA;Carretera Tunel;Tunel Sur;172+888;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
20;2;TUN-TV-5MA;TUN-TV-5MA;TUN-TV-5MA;Carretera Tunel;Tunel Sur;172+965;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
21;2;TUN-TV-6MA;TUN-TV-6MA;TUN-TV-6MA;Carretera Tunel;Tunel Sur;173+117;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
22;2;TUN-TV-7MA;TUN-TV-7MA;TUN-TV-7MA;Carretera Tunel;Tunel Sur;173+257;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
23;2;TUN-TV-8MA;TUN-TV-8MA;TUN-TV-8MA;Carretera Tunel;Tunel Sur;173+320;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
24;2;TUN-TV-9MA;TUN-TV-9MA;TUN-TV-9MA;Carretera Tunel;Tunel Sur;173+437;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
25;2;MAP-TV-1;MAP-TV-1;MAP-TV-1;Carretera Mapa;Mapa;120+400;N;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
26;2;MAP-TV-2;MAP-TV-2;MAP-TV-2;Carretera Mapa;Mapa;120+600;N;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
27;2;MAP-TV-3;MAP-TV-3;MAP-TV-3;Carretera Mapa;Mapa;120+800;N;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
28;2;MAP-TV-4;MAP-TV-4;MAP-TV-4;Carretera Mapa;Mapa;121+000;N;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
29;2;MAP-TV-5;MAP-TV-5;MAP-TV-5;Carretera Mapa;Mapa;119+200;N;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
30;2;MAP-TV-6;MAP-TV-6;MAP-TV-6;Carretera Mapa;Mapa;118+700;S;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
31;2;MAP-TV-7;MAP-TV-7;MAP-TV-7;Carretera Mapa;Mapa;118+300;S;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
32;2;MAP-TV-8;MAP-TV-8;MAP-TV-8;Carretera Mapa;Mapa;117+150;S;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
33;2;MAP-TV-9;MAP-TV-9;MAP-TV-9;Carretera Mapa;Mapa;116+050;S;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
34;2;MAP-TV-10;MAP-TV-10;MAP-TV-10;Carretera Mapa;Mapa;121+200;S;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
