device_name;session_uid;url_publisher;index;read_permission;write_permission
R-TG01-2575-N;R-TG01-2575-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;63;monitor;
R-TG01-2600-N;R-TG01-2600-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;64;monitor;
R-TG01-2600-S;R-TG01-2600-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;65;monitor;
R-TG63-0565-W;R-TG63-0565-W;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;66;monitor;
R-TG01-2637-S;R-TG01-2637-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;67;monitor;
R-TG01-2635-S;R-TG01-2635-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;68;monitor;
R-TG01-2678-S;R-TG01-2678-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;69;monitor;
R-TG01-2683-N;R-TG01-2683-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;70;monitor;
R-TG01-2734-S;R-TG01-2734-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;71;monitor;
R-TG63-0430-W;R-TG63-0430-W;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;72;monitor;
R-TG63-0200-W;R-TG63-0200-W;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;73;monitor;
